#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         354       -0.24    0.287571   0.0259608
         355       -0.32    0.285859    0.025944
         356       -0.36    0.284045   0.0259345
         357       -0.28    0.282465   0.0259099
         358       -0.24    0.281006   0.0258786
         359       -0.24    0.279554   0.0258472
         360        -0.2    0.278222   0.0258097
         361       -0.16    0.277008   0.0257667
         362       -0.24     0.27558   0.0257351
         363        -0.2     0.27427   0.0256975
         364       -0.12    0.273187   0.0256497
         365       -0.16       0.272   0.0256069
         366       -0.08    0.271038    0.025555
         367           0      0.2703    0.025496
         368       -0.08    0.269348   0.0254445
         369       -0.12    0.268293   0.0253974
         370       -0.12    0.267243   0.0253505
         371       -0.12    0.266199   0.0253036
         372       -0.08    0.265269   0.0252527
         373       -0.12    0.264236   0.0252061
         374        -0.2    0.262995   0.0251693
         375       -0.28    0.261547   0.0251438
         376       -0.32        0.26   0.0251244
         377       -0.28    0.258568   0.0250986
         378       -0.36    0.256931   0.0250855
         379       -0.36    0.255303    0.025072
         380       -0.36    0.253684   0.0250583
         381       -0.36    0.252073   0.0250442
         382       -0.28    0.250681   0.0250174
         383       -0.24    0.249399   0.0249848
         384        -0.2    0.248229   0.0249472
         385        -0.2    0.247065   0.0249095
         386        -0.2    0.245907   0.0248719
         387       -0.12    0.244961   0.0248256
         388       -0.12    0.244021   0.0247794
         389       -0.12    0.243085   0.0247334
         390       -0.08    0.242256   0.0246838
         391       -0.12     0.24133   0.0246381
         392       -0.12    0.240408   0.0245925
         393       -0.08    0.239593   0.0245434
         394       -0.08    0.238782   0.0244945
         395       -0.08    0.237975   0.0244458
         396       -0.08    0.237172   0.0243972
         397       -0.08    0.236373   0.0243489
         398           0    0.235779   0.0242949
         399        0.04    0.235288    0.024239
         400       -0.04      0.2346   0.0241882
         401       -0.16    0.233616   0.0241478
         402       -0.12    0.232736   0.0241038
         403       -0.12    0.231861   0.0240599
         404       -0.04    0.231188   0.0240097
         405       -0.04    0.230519   0.0239598
         406       -0.08    0.229754    0.023913
         407       -0.16    0.228796   0.0238734
         408       -0.32    0.227451   0.0238527
         409       -0.32    0.226112   0.0238319
         410       -0.28    0.224878   0.0238058
         411        -0.2    0.223844   0.0237703
         412        -0.2    0.222816   0.0237348
         413        -0.2    0.221792   0.0236994
         414       -0.24    0.220676   0.0236684
         415       -0.24    0.219566   0.0236374
         416        -0.2    0.218558   0.0236021
         417       -0.24    0.217458   0.0235711
         418       -0.32    0.216172   0.0235497
         419        -0.2    0.215179   0.0235145
         420        -0.2     0.21419   0.0234793
         421       -0.24    0.213112   0.0234483
         422       -0.24    0.212038   0.0234173
         423        -0.2    0.211064   0.0233822
