#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         550         100     72.7715     1.53767
         551         100     72.8209     1.53568
         552         100     72.8701     1.53368
         553         100     72.9192      1.5317
         554         100     72.9681     1.52971
         555         100     73.0168     1.52773
         556         100     73.0653     1.52575
         557         100     73.1137     1.52378
         558         100     73.1619     1.52181
         559         100     73.2099     1.51985
         560         100     73.2577     1.51788
         561         100     73.3054     1.51593
         562         100     73.3529     1.51397
         563         100     73.4002     1.51202
         564         100     73.4474     1.51008
         565         100     73.4944     1.50814
         566         100     73.5412      1.5062
         567         100     73.5879     1.50427
         568         100     73.6344     1.50234
         569         100     73.6807     1.50041
         570       77.44     73.6873     1.49779
         571          64     73.6703     1.49526
         572       46.24     73.6224     1.49342
         573       46.24     73.5746     1.49158
         574          36     73.5091     1.49041
         575       40.96     73.4525      1.4889
         576       27.04     73.3719     1.48849
         577       19.36     73.2783     1.48885
         578       19.36     73.1851      1.4892
         579       19.36     73.0921     1.48952
         580       31.36     73.0201     1.48869
         581       40.96      72.965     1.48715
         582       23.04     72.8792     1.48707
         583       23.04     72.7937     1.48697
         584       27.04     72.7153     1.48649
         585       23.04     72.6304     1.48637
         586          36     72.5679     1.48515
         587       46.24     72.5231      1.4833
         588       40.96     72.4694     1.48174
         589       46.24     72.4249      1.4799
         590          36     72.3631     1.47868
         591       27.04     72.2864     1.47816
         592       23.04     72.2032       1.478
         593       31.36     72.1344     1.47711
         594       31.36     72.0657     1.47622
         595          36     72.0051     1.47499
         596       27.04     71.9297     1.47444
         597       31.36     71.8617     1.47353
         598          36     71.8017     1.47229
         599       40.96     71.7503     1.47073
         600       40.96     71.6989     1.46918
         601       40.96     71.6478     1.46762
         602          36     71.5886     1.46638
         603       40.96     71.5378     1.46482
         604          36     71.4789     1.46358
         605       27.04     71.4055       1.463
         606       19.36     71.3196     1.46311
         607       27.04     71.2467     1.46252
         608       31.36     71.1811     1.46158
         609       23.04      71.102     1.46132
         610          16     71.0117     1.46171
         611       19.36     70.9271     1.46176
         612          16     70.8374     1.46212
         613       12.96      70.743     1.46278
         614          16     70.6538     1.46312
         615       12.96       70.56     1.46374
         616       10.24     70.4621     1.46464
         617        5.76     70.3572     1.46601
         618           4     70.2498     1.46757
         619        2.56     70.1405     1.46927
         620        5.76     70.0366     1.47056
         621       10.24     69.9404     1.47134
         622        7.84     69.8405     1.47236
         623       10.24     69.7448      1.4731
         624       10.24     69.6495     1.47382
         625       12.96     69.5588     1.47425
         626       10.24      69.464     1.47494
         627        7.84     69.3657     1.47586
         628        5.76     69.2645     1.47698
         629          16     69.1798     1.47706
         630       23.04     69.1065     1.47653
         631       23.04     69.0335     1.47599
         632       23.04     68.9608     1.47545
         633       46.24     68.9249     1.47356
         634       46.24     68.8891     1.47167
         635       40.96     68.8451        1.47
