#      BLOCK:  	 ACTUAL_R:       R_AVE:       ERROR:
          519      6.60091       10.372     0.333464
          520      6.60091      10.3647     0.332901
          521      5.89494      10.3562     0.332372
          522      5.91284      10.3476     0.331844
          523      6.11449      10.3396     0.331308
          524      6.32595      10.3319     0.330764
          525      6.32595      10.3243     0.330221
          526      6.32595      10.3167      0.32968
          527      6.21586      10.3089     0.329146
          528       6.8638      10.3024     0.328587
          529       6.8638      10.2959      0.32803
          530      7.33114      10.2903     0.327458
          531      8.02209       10.286     0.326869
          532      7.76976      10.2813     0.326288
          533      7.30372      10.2757     0.325723
          534      7.32628      10.2701     0.325159
          535      6.36725      10.2629     0.324633
          536      6.36725      10.2556     0.324108
          537      6.73724       10.249     0.323571
          538      6.71064      10.2425     0.323036
          539      5.79109      10.2342     0.322541
          540      5.95592      10.2263     0.322041
          541      5.95592      10.2184     0.321542
          542      7.00851      10.2125     0.321003
          543      6.03622      10.2048     0.320504
          544      4.35178       10.194     0.320095
          545      4.35178      10.1833     0.319687
          546      3.41767      10.1709     0.319341
          547      4.08904      10.1598     0.318951
          548      4.08904      10.1487     0.318561
          549      4.08904      10.1377     0.318171
          550      5.73273      10.1297     0.317693
          551      5.73273      10.1217     0.317217
          552      6.01925      10.1142     0.316729
          553      6.72225      10.1081     0.316215
          554      6.29901      10.1012     0.315719
          555      5.58233      10.0931     0.315254
          556      6.01177      10.0858     0.314772
          557      5.26099      10.0771     0.314326
          558      6.04591      10.0699     0.313845
          559       6.9398      10.0643     0.313334
          560      5.75653      10.0566     0.312868
          561      4.92806      10.0474     0.312444
          562      4.19754       10.037     0.312061
          563      3.45434      10.0253     0.311725
          564      3.45434      10.0137      0.31139
          565      3.45434      10.0021     0.311055
          566      3.33278      9.99029     0.310729
          567      3.33278      9.97855     0.310403
          568      3.33278      9.96685     0.310076
          569      3.29727      9.95512     0.309753
          570      2.10299      9.94135     0.309516
          571      2.10299      9.92762     0.309278
          572      3.35877      9.91614      0.30895
          573      1.94079      9.90222     0.308724
          574      1.41871      9.88744      0.30854
          575      2.30627      9.87425     0.308285
          576      2.36817      9.86122     0.308025
          577      2.36817      9.84824     0.307765
          578      2.36817       9.8353     0.307505
          579      3.31705      9.82404      0.30718
          580      2.97473      9.81223     0.306877
          581      2.97473      9.80046     0.306574
          582      2.45165      9.78783     0.306307
          583      2.45165      9.77525      0.30604
          584      2.45165      9.76271     0.305773
          585      2.45165      9.75021     0.305506
          586      1.50039      9.73613     0.305309
          587      1.50039       9.7221     0.305111
          588      2.15736      9.70924     0.304863
          589      2.43616      9.69689     0.304595
          590      2.43616      9.68458     0.304328
          591      3.88937      9.67478      0.30397
          592      3.88937        9.665     0.303614
          593      2.98263      9.65374     0.303311
          594      2.98263      9.64251     0.303008
          595       4.1401      9.63326      0.30264
          596       4.1401      9.62404     0.302272
          597       4.1401      9.61486     0.301905
          598       3.6668      9.60491     0.301564
          599      4.77297      9.59684     0.301168
          600      5.98939      9.59083     0.300726
