#      BLOCK:  	 ACTUAL_R:       R_AVE:       ERROR:
          235     0.761165      7.55249     0.618326
          236     0.761165      7.52371     0.616373
          237     0.795361      7.49532     0.614423
          238     0.795361      7.46717     0.612483
          239     0.795361      7.43925     0.610553
          240     0.795361      7.41157     0.608634
          241     0.795361      7.38412     0.606725
          242     0.795361      7.35689     0.604826
          243     0.795361      7.32989     0.602936
          244     0.795361      7.30311     0.601057
          245      2.17541      7.28218     0.598965
          246      2.17541      7.26142     0.596886
          247        2.185      7.24087      0.59482
          248      1.34038      7.21708     0.592894
          249      1.34038      7.19347     0.590979
          250      1.34038      7.17006     0.589076
          251      1.34038      7.14684     0.587184
          252      1.34038      7.12379     0.585303
          253     0.508225      7.09765     0.583571
          254     0.508225       7.0717     0.581848
          255     0.766224      7.04698     0.580089
          256      0.71965      7.02226     0.578347
          257      1.21532      6.99967     0.576535
          258      1.21532      6.97725     0.574733
          259       1.1026      6.95456     0.572959
          260       1.1026      6.93206     0.571195
          261       1.1026      6.90972      0.56944
          262       1.1026      6.88756     0.567696
          263      1.38996      6.86665     0.565919
          264      1.38996      6.84591     0.564153
          265      2.53476      6.82964     0.562255
          266      2.53476      6.81349      0.56037
          267      2.67746        6.798     0.558483
          268      2.96468       6.7837     0.556579
          269      1.49475      6.76404     0.554854
          270     0.562681      6.74107     0.553272
          271     0.342718      6.71746     0.551732
          272     0.342718      6.69402     0.550199
          273     0.342718      6.67076     0.548674
          274     0.342718      6.64766     0.547155
          275     0.342718      6.62474     0.545644
          276     0.342718      6.60197      0.54414
          277     0.342718      6.57938     0.542642
          278     0.342718      6.55694     0.541152
          279     0.342718      6.53467     0.539669
          280     0.342718      6.51256     0.538192
          281     0.342718       6.4906     0.536723
          282     0.342718       6.4688     0.535261
          283     0.342718      6.44715     0.533805
          284     0.342718      6.42566     0.532356
          285     0.342718      6.40431     0.530914
          286     0.342718      6.38312     0.529479
          287     0.342718      6.36207      0.52805
          288     0.342718      6.34117     0.526629
          289     0.342718      6.32042     0.525213
          290     0.342718       6.2998     0.523805
          291     0.342718      6.27933     0.522403
          292     0.342718        6.259     0.521008
          293     0.342718      6.23881     0.519619
          294     0.342718      6.21875     0.518237
          295     0.342718      6.19884     0.516861
          296     0.342718      6.17905     0.515492
          297     0.342718       6.1594     0.514129
          298     0.342718      6.13988     0.512772
          299     0.342718      6.12049     0.511422
          300     0.342718      6.10123     0.510078
          301     0.342718       6.0821     0.508741
          302     0.342718       6.0631     0.507409
          303     0.342718      6.04422     0.506084
          304     0.342718      6.02546     0.504765
          305     0.342718      6.00683     0.503452
          306     0.149597      5.98769     0.502169
          307     0.149597      5.96867     0.500892
          308     0.149597      5.94978     0.499621
          309      1.80668      5.93637     0.498181
          310      1.10888       5.9208     0.496816
          311      1.10888      5.90533     0.495458
          312      1.96829      5.89271     0.494028
          313      1.96829      5.88017     0.492607
          314      1.39806       5.8659     0.491243
          315      1.62839      5.85244     0.489866
          316      1.62839      5.83908     0.488496
          317      1.62839      5.82579     0.487134
          318      1.62839       5.8126     0.485779
          319      1.62839      5.79948     0.484431
          320      1.79579      5.78697     0.483077
          321      1.79579      5.77453      0.48173
          322     0.779631      5.75902     0.480482
          323     0.779631      5.74361      0.47924
          324      1.50637      5.73053     0.477938
          325      1.50637      5.71753     0.476642
          326      1.20542      5.70369      0.47538
          327     0.640148       5.6882     0.474176
          328     0.640148      5.67281     0.472979
          329     0.640148      5.65752     0.471787
          330     0.640148      5.64231     0.470601
          331     0.640148       5.6272     0.469421
          332     0.640148      5.61218     0.468246
          333      1.29078       5.5992     0.467018
          334      1.29078       5.5863     0.465796
          335      1.73034      5.57479     0.464546
          336     0.513762      5.55973     0.463406
          337     0.513762      5.54476     0.462272
          338     0.513762      5.52987     0.461142
          339     0.607916      5.51535     0.460009
          340     0.607916      5.50092     0.458881
          341      2.01797      5.49071     0.457647
          342      2.01797      5.48055      0.45642
          343      2.39825      5.47156     0.455176
          344      2.39825      5.46263     0.453939
          345      1.85407      5.45217     0.452742
          346      2.16064      5.44266     0.451532
          347      2.16064       5.4332     0.450328
          348      2.16064       5.4238     0.449131
          349      2.16064      5.41445      0.44794
          350      2.33913      5.40566     0.446745
          351      1.95327      5.39582     0.445579
          352      1.73986      5.38544     0.444432
          353      1.73986      5.37511     0.443292
          354      1.73986      5.36484     0.442157
          355      1.73986      5.35463     0.441028
          356      1.73986      5.34448     0.439905
          357      1.73986      5.33438     0.438787
          358      1.54778       5.3238     0.437687
          359      1.36451      5.31277     0.436606
          360      1.36451      5.30181     0.435529
          361      1.36451       5.2909     0.434458
          362      1.36451      5.28005     0.433392
          363      2.32314      5.27191     0.432273
          364      2.32314      5.26381      0.43116
          365      2.32314      5.25575     0.430053
          366      1.98923      5.24682     0.428969
          367      1.98923      5.23795     0.427891
          368      1.98923      5.22912     0.426818
          369      1.98923      5.22034      0.42575
          370      1.98923      5.21161     0.424687
          371      1.98923      5.20292      0.42363
          372      1.88861      5.19401     0.422584
          373      1.88861      5.18515     0.421543
          374      1.76565      5.17601     0.420513
          375      1.76565      5.16691     0.419489
          376      1.76565      5.15787      0.41847
          377      1.76565      5.14887     0.417455
          378      1.76565      5.13992     0.416446
          379      1.76565      5.13102     0.415441
          380      3.14032      5.12578     0.414379
          381      3.14032      5.12057     0.413323
          382      3.14032      5.11538     0.412272
          383      2.27508      5.10797     0.411261
          384      2.27508      5.10059     0.410255
          385      2.77084      5.09454     0.409233
          386      2.77084      5.08852     0.408216
          387      2.77084      5.08253     0.407204
          388      2.77084      5.07657     0.406196
          389      2.14859      5.06904     0.405221
          390      2.14859      5.06156      0.40425
          391      2.14859      5.05411     0.403283
          392      2.14859      5.04669     0.402322
          393      1.46387      5.03758       0.4014
          394      1.46387      5.02851     0.400483
          395     0.528537      5.01711      0.39963
