#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         273     3.00186     3.02761 0.000809926
         274     3.00174     3.02752 0.000812456
         275     3.00165     3.02743  0.00081493
         276     3.00157     3.02733 0.000817342
         277     3.00152     3.02724 0.000819687
         278     3.00148     3.02715  0.00082196
         279     3.00145     3.02705 0.000824156
         280     3.00144     3.02696 0.000826273
         281     3.00145     3.02687 0.000828306
         282     3.00146     3.02678 0.000830254
         283     3.00149     3.02669 0.000832115
         284     3.00153      3.0266 0.000833887
         285     3.00159     3.02652 0.000835569
         286     3.00165     3.02643  0.00083716
         287     3.00172     3.02634 0.000838658
         288      3.0018     3.02626 0.000840064
         289     3.00189     3.02617 0.000841377
         290     3.00199     3.02609 0.000842596
         291     3.00211     3.02601 0.000843722
         292     3.00223     3.02593 0.000844754
         293     3.00236     3.02585 0.000845691
         294      3.0025     3.02577 0.000846535
         295     3.00265     3.02569 0.000847285
         296     3.00281     3.02561  0.00084794
         297     3.00298     3.02553 0.000848501
         298     3.00317     3.02546 0.000848967
         299     3.00336     3.02538 0.000849339
         300     3.00357     3.02531 0.000849616
         301     3.00378     3.02524 0.000849799
         302     3.00401     3.02517 0.000849887
         303     3.00426      3.0251  0.00084988
         304     3.00451     3.02503 0.000849779
         305     3.00478     3.02497 0.000849584
         306     3.00506      3.0249 0.000849294
         307     3.00536     3.02484 0.000848911
         308     3.00566     3.02478 0.000848435
         309     3.00599     3.02472 0.000847865
         310     3.00632     3.02466 0.000847204
         311     3.00667      3.0246 0.000846451
         312     3.00703     3.02454 0.000845608
         313     3.00741     3.02449 0.000844677
         314      3.0078     3.02443 0.000843657
         315      3.0082     3.02438 0.000842552
         316     3.00861     3.02433 0.000841362
         317     3.00904     3.02428  0.00084009
         318     3.00948     3.02424 0.000838737
         319     3.00993     3.02419 0.000837306
         320     3.01039     3.02415   0.0008358
         321     3.01086     3.02411 0.000834221
         322     3.01134     3.02407 0.000832572
         323     3.01183     3.02403 0.000830856
         324     3.01233     3.02399 0.000829076
         325     3.01283     3.02396 0.000827236
         326     3.01335     3.02393 0.000825339
         327     3.01386      3.0239 0.000823389
         328     3.01439     3.02387 0.000821389
         329     3.01492     3.02384 0.000819343
         330     3.01545     3.02382 0.000817254
         331     3.01598     3.02379 0.000815128
         332     3.01652     3.02377 0.000812968
         333     3.01705     3.02375 0.000810777
         334     3.01759     3.02373 0.000808559
         335     3.01812     3.02371 0.000806319
         336     3.01865      3.0237  0.00080406
         337     3.01918     3.02369 0.000801785
         338     3.01971     3.02367 0.000799499
         339     3.02023     3.02366 0.000797205
         340     3.02075     3.02366 0.000794907
         341     3.02126     3.02365 0.000792607
         342     3.02177     3.02364 0.000790308
         343     3.02226     3.02364 0.000788014
         344     3.02275     3.02364 0.000785728
         345     3.02323     3.02364 0.000783451
         346      3.0237     3.02364 0.000781187
         347     3.02417     3.02364 0.000778937
         348     3.02462     3.02364 0.000776704
         349     3.02506     3.02364 0.000774489
         350     3.02549     3.02365 0.000772294
         351     3.02591     3.02366 0.000770121
         352     3.02632     3.02366  0.00076797
         353     3.02671     3.02367 0.000765843
         354      3.0271     3.02368 0.000763741
         355     3.02747     3.02369 0.000761664
         356     3.02783      3.0237 0.000759613
