#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         238      2.7431     2.74215 4.31493e-05
         239      2.7431     2.74215 4.31533e-05
         240      2.7431     2.74216 4.31555e-05
         241      2.7431     2.74216 4.31531e-05
         242     2.74309     2.74216 4.31456e-05
         243     2.74308     2.74217 4.31331e-05
         244     2.74307     2.74217 4.31149e-05
         245     2.74306     2.74218 4.30913e-05
         246     2.74305     2.74218 4.30608e-05
         247     2.74304     2.74218 4.30262e-05
         248     2.74301     2.74219  4.2983e-05
         249     2.74299     2.74219 4.29312e-05
         250     2.74296     2.74219 4.28713e-05
         251     2.74294      2.7422 4.28026e-05
         252     2.74291      2.7422 4.27271e-05
         253     2.74288      2.7422 4.26435e-05
         254     2.74285      2.7422 4.25528e-05
         255     2.74282     2.74221 4.24556e-05
         256     2.74279     2.74221 4.23512e-05
         257     2.74276     2.74221 4.22415e-05
         258     2.74273     2.74221 4.21259e-05
         259      2.7427     2.74221 4.20049e-05
         260     2.74266     2.74222 4.18785e-05
         261     2.74263     2.74222 4.17479e-05
         262      2.7426     2.74222 4.16144e-05
         263     2.74257     2.74222 4.14772e-05
         264     2.74254     2.74222 4.13372e-05
         265     2.74251     2.74222 4.11952e-05
         266     2.74248     2.74222 4.10517e-05
         267     2.74245     2.74222 4.09068e-05
         268     2.74242     2.74223 4.07607e-05
         269     2.74239     2.74223 4.06137e-05
         270     2.74237     2.74223 4.04666e-05
         271     2.74234     2.74223 4.03195e-05
         272     2.74232     2.74223 4.01728e-05
         273      2.7423     2.74223 4.00266e-05
         274     2.74228     2.74223  3.9881e-05
         275     2.74227     2.74223 3.97362e-05
         276     2.74225     2.74223 3.95923e-05
         277     2.74223     2.74223 3.94494e-05
         278     2.74221     2.74223 3.93075e-05
         279      2.7422     2.74223 3.91668e-05
         280     2.74219     2.74223 3.90271e-05
         281     2.74218     2.74223 3.88887e-05
         282     2.74216     2.74223 3.87514e-05
         283     2.74216     2.74223 3.86153e-05
         284     2.74214     2.74223 3.84805e-05
         285     2.74213     2.74223 3.83469e-05
         286     2.74212     2.74223 3.82145e-05
