#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         242     2.01285     2.02008 0.000513175
         243     2.01225     2.02005 0.000512074
         244     2.01165     2.02001  0.00051113
         245     2.01106     2.01998 0.000510349
         246     2.01047     2.01994 0.000509734
         247      2.0099      2.0199 0.000509288
         248     2.00933     2.01985 0.000509013
         249     2.00878     2.01981 0.000508908
         250     2.00824     2.01976 0.000508972
         251     2.00772     2.01972 0.000509203
         252     2.00721     2.01967 0.000509596
         253     2.00672     2.01962 0.000510146
         254     2.00624     2.01956 0.000510846
         255     2.00579     2.01951  0.00051169
         256     2.00536     2.01945 0.000512668
         257     2.00495      2.0194 0.000513771
         258     2.00456     2.01934  0.00051499
         259     2.00419     2.01928 0.000516314
         260     2.00384     2.01922 0.000517732
         261     2.00352     2.01916 0.000519234
         262     2.00321      2.0191 0.000520807
         263     2.00293     2.01904 0.000522441
         264     2.00268     2.01898 0.000524126
         265     2.00244     2.01891  0.00052585
         266     2.00222     2.01885 0.000527603
         267     2.00203     2.01879 0.000529376
         268     2.00185     2.01873 0.000531159
         269      2.0017     2.01866 0.000532944
         270     2.00156      2.0186 0.000534723
         271     2.00143     2.01854 0.000536488
         272     2.00133     2.01847 0.000538233
         273     2.00124     2.01841 0.000539951
         274     2.00116     2.01835 0.000541637
         275      2.0011     2.01828 0.000543286
         276     2.00105     2.01822 0.000544895
         277     2.00101     2.01816 0.000546458
         278     2.00098      2.0181 0.000547973
         279     2.00097     2.01804 0.000549437
         280     2.00096     2.01797 0.000550848
         281     2.00096     2.01791 0.000552204
         282     2.00098     2.01785 0.000553503
         283       2.001     2.01779 0.000554744
         284     2.00102     2.01774 0.000555925
         285     2.00106     2.01768 0.000557046
         286      2.0011     2.01762 0.000558106
         287     2.00115     2.01756 0.000559105
         288      2.0012      2.0175 0.000560043
         289     2.00126     2.01745 0.000560918
         290     2.00133     2.01739 0.000561731
         291      2.0014     2.01734 0.000562481
         292     2.00148     2.01728 0.000563169
         293     2.00157     2.01723 0.000563794
         294     2.00167     2.01718 0.000564357
         295     2.00177     2.01712 0.000564857
         296     2.00187     2.01707 0.000565293
         297     2.00199     2.01702 0.000565667
         298     2.00211     2.01697 0.000565978
         299     2.00224     2.01692 0.000566226
         300     2.00238     2.01687 0.000566411
         301     2.00252     2.01683 0.000566533
         302     2.00268     2.01678 0.000566591
         303     2.00284     2.01673 0.000566587
         304     2.00301     2.01669  0.00056652
         305     2.00319     2.01664 0.000566389
         306     2.00337      2.0166 0.000566196
         307     2.00357     2.01656 0.000565941
         308     2.00378     2.01652 0.000565623
         309     2.00399     2.01648 0.000565243
         310     2.00421     2.01644 0.000564803
         311     2.00445      2.0164 0.000564301
         312     2.00469     2.01636 0.000563739
         313     2.00494     2.01632 0.000563118
         314      2.0052     2.01629 0.000562438
         315     2.00547     2.01626 0.000561701
         316     2.00574     2.01622 0.000560908
         317     2.00603     2.01619  0.00056006
         318     2.00632     2.01616 0.000559158
         319     2.00662     2.01613 0.000558204
         320     2.00693      2.0161   0.0005572
         321     2.00724     2.01607 0.000556147
         322     2.00756     2.01605 0.000555048
         323     2.00789     2.01602 0.000553904
         324     2.00822       2.016 0.000552718
         325     2.00856     2.01597 0.000551491
         326      2.0089     2.01595 0.000550226
         327     2.00924     2.01593 0.000548926
         328     2.00959     2.01591 0.000547592
         329     2.00994     2.01589 0.000546228
         330      2.0103     2.01588 0.000544836
         331     2.01065     2.01586 0.000543419
