# DISTANCE:     AVE_GOFR:        ERROR:
    0.884913  0.00070613 0.000353892
    0.910562   0.0247537  0.00286308
    0.936212    0.176521  0.00315522
    0.961861    0.588322   0.0105896
    0.987511     1.23024   0.0210945
     1.01316     1.89144   0.0245154
     1.03881     2.35232   0.0200265
     1.06446     2.56898   0.0185746
     1.09011     2.52668   0.0152819
     1.11576     2.36264   0.0141358
     1.14141     2.15452   0.0174984
     1.16706     1.93852   0.0122372
     1.19271     1.73815  0.00552895
     1.21836     1.53219   0.0115589
     1.24401     1.36979   0.0152554
     1.26966     1.25861   0.0180314
     1.29531     1.13152   0.0173416
     1.32096     1.03854   0.0166157
     1.34661    0.943544   0.0136606
     1.37226    0.867006  0.00942746
     1.39791     0.82087   0.0124719
     1.42355    0.781691   0.0118453
      1.4492    0.737432   0.0109066
     1.47485    0.706383  0.00903039
      1.5005    0.685821  0.00896669
     1.52615    0.681244   0.0104423
      1.5518    0.676288  0.00969143
     1.57745    0.673727  0.00621661
      1.6031    0.673581  0.00556869
     1.62875    0.687969  0.00539587
      1.6544    0.706506   0.0048543
     1.68005    0.742705  0.00319622
      1.7057    0.780463  0.00965069
     1.73135    0.795799  0.00603322
       1.757     0.82822  0.00515226
     1.78265    0.854542  0.00679008
      1.8083    0.897361   0.0119972
     1.83395    0.937925  0.00948102
      1.8596     0.97698  0.00794023
     1.88525     1.01664  0.00832379
      1.9109     1.05469   0.0107537
     1.93655     1.09738   0.0107938
      1.9622     1.11852  0.00334611
     1.98785     1.15182  0.00577362
      2.0135     1.19145  0.00778712
     2.03915     1.21501  0.00916892
      2.0648     1.22838   0.0116651
     2.09045     1.20297  0.00772649
      2.1161     1.20315  0.00928479
     2.14174     1.18424   0.0101809
     2.16739     1.16528  0.00561227
     2.19304      1.1301  0.00870612
     2.21869     1.11833   0.0073953
     2.24434     1.07341  0.00970966
     2.26999     1.05813  0.00683108
     2.29564     1.03788   0.0120654
     2.32129     1.01511  0.00799141
     2.34694    0.974813   0.0135579
     2.37259    0.963525   0.0121835
     2.39824    0.939966  0.00529224
     2.42389    0.929789  0.00696726
     2.44954    0.913374  0.00724283
     2.47519    0.900382  0.00624859
     2.50084    0.897747  0.00556056
     2.52649    0.891527  0.00621766
     2.55214    0.881512  0.00391755

