#      BLOCK:  	 ACTUAL_H:       H_AVE:       ERROR:
          340    -0.205928    -0.452276    0.0152286
          341    -0.205928    -0.451554     0.015201
          342    -0.291794    -0.451087    0.0151637
          343    -0.291794    -0.450622    0.0151266
          344     -0.89515    -0.451915    0.0151378
          345     -0.89515    -0.453199    0.0151484
          346     -0.17605    -0.452398    0.0151258
          347    -0.714132    -0.453153     0.015101
          348    -0.212436    -0.452461    0.0150734
          349    -0.347576     -0.45216    0.0150332
          350    -0.754522    -0.453024    0.0150151
          351    -0.199271    -0.452301    0.0149897
          352    -0.928342    -0.453654    0.0150081
          353    -0.169716    -0.452849    0.0149871
          354    -0.169716     -0.45205    0.0149661
          355    -0.367604    -0.451812    0.0149258
          356    -0.367604    -0.451575    0.0148857
          357      -0.4743    -0.451639     0.014844
          358    -0.737995    -0.452439    0.0148241
          359    -0.737995    -0.453234    0.0148041
          360    -0.737995    -0.454025    0.0147841
          361    -0.629831    -0.454512    0.0147512
          362    -0.629831    -0.454996    0.0147183
          363    -0.647012    -0.455525    0.0146873
          364    -0.647012    -0.456051    0.0146563
          365    -0.647012    -0.456575    0.0146255
          366     -0.68984    -0.457212    0.0145994
          367     -0.68984    -0.457846    0.0145733
          368     -0.68984    -0.458476    0.0145473
          369    -0.895208     -0.45966     0.014556
          370    -0.895208    -0.460837    0.0145643
          371    -0.895208    -0.462008    0.0145721
          372    -0.487194    -0.462076     0.014533
          373    -0.487194    -0.462143    0.0144942
          374    -0.487194     -0.46221    0.0144555
          375    -0.610996    -0.462607    0.0144224
          376    -0.610996    -0.463001    0.0143894
          377     -0.77225    -0.463822    0.0143746
          378     -0.77225    -0.464637    0.0143597
          379     -0.77225    -0.465449    0.0143448
          380     -0.77225    -0.466256    0.0143297
          381    -0.646543     -0.46673    0.0142999
          382    -0.646543      -0.4672    0.0142702
          383    -0.292156    -0.466743    0.0142402
          384    -0.292156    -0.466289    0.0142103
          385     -1.02081    -0.467729    0.0142464
          386     -1.02081    -0.469162    0.0142815
          387    -0.890968    -0.470252    0.0142862
          388    -0.231784    -0.469637    0.0142626
          389    -0.231784    -0.469026     0.014239
          390    -0.553566    -0.469243    0.0142041
          391    -0.553566    -0.469458    0.0141693
          392    -0.653845    -0.469929     0.014141
          393    -0.990291    -0.471253     0.014167
          394    -0.990291     -0.47257    0.0141922
          395     -0.57183    -0.472821    0.0141585
          396     -0.57183    -0.473071    0.0141249
          397    -0.267811    -0.472554    0.0140988
          398    -0.267811     -0.47204    0.0140727
          399    -0.179162    -0.471306    0.0140566
          400    -0.179162    -0.470575    0.0140404
          401    -0.179162    -0.469849    0.0140242
          402    -0.179162    -0.469126    0.0140079
          403      -0.1588    -0.468356    0.0139943
          404    -0.164703    -0.467604    0.0139799
          405    -0.288371    -0.467161    0.0139523
          406    -0.288371    -0.466721    0.0139249
          407    -0.288371    -0.466283    0.0138975
          408    -0.288371    -0.465847    0.0138703
          409    -0.288371    -0.465413    0.0138431
          410     -0.64776    -0.465858    0.0138165
          411    -0.694516    -0.466414     0.013794
          412     -0.62248    -0.466793    0.0137657
          413     -0.65452    -0.467247    0.0137399
          414     -0.65452      -0.4677    0.0137141
          415     -0.65452     -0.46815    0.0136884
          416    -0.190691    -0.467483    0.0136718
          417    -0.340689    -0.467179    0.0136423
          418    -0.417551     -0.46706    0.0136102
          419    -0.417551    -0.466942    0.0135782
          420    -0.417551    -0.466824    0.0135463
          421    -0.647152    -0.467253    0.0135209
          422    -0.647152    -0.467679    0.0134955
          423    -0.300609    -0.467284    0.0134694
          424    -0.300609    -0.466891    0.0134433
          425    -0.300609      -0.4665    0.0134174
          426    -0.511211    -0.466605    0.0133862
          427    -0.158982    -0.465884    0.0133743
          428    -0.548156    -0.466076    0.0133444
