#      BLOCK:  	 ACTUAL_R:       R_AVE:       ERROR:
          254      6.57903       14.262     0.732057
          255      6.53406      14.2317      0.72981
          256      6.53406      14.2016     0.727575
          257      5.87676      14.1693     0.725462
          258      6.71304      14.1404     0.723223
          259      6.71304      14.1117     0.720995
          260      4.84473       14.076     0.719101
          261      6.89277      14.0485     0.716869
          262      6.89277      14.0212      0.71465
          263      6.89277      13.9941     0.712443
          264      6.83668       13.967     0.710257
          265      6.83668      13.9401     0.708083
          266      6.83668      13.9134     0.705921
          267      4.78695      13.8792     0.704102
          268      2.62188      13.8372     0.702727
          269      2.62188      13.7955      0.70135
          270      4.41818      13.7608      0.69961
          271      5.85002      13.7316     0.697635
          272       3.2649      13.6931     0.696129
          273       3.2649      13.6549     0.694626
          274       3.2649       13.617     0.693124
          275       3.2649      13.5793     0.691624
          276       3.2649       13.542     0.690126
          277      3.58095       13.506      0.68857
          278      3.58095      13.4703     0.687017
          279      3.58095      13.4348     0.685467
          280      3.58095      13.3997     0.683921
          281      3.58095      13.3647     0.682378
          282      3.59931      13.3301     0.680835
          283      2.60267      13.2922     0.679483
          284      3.06295      13.2562     0.678044
          285      3.06295      13.2204     0.676606
          286      3.31561      13.1858     0.675125
          287      3.31561      13.1514     0.673647
          288      2.09719       13.113       0.6724
          289      4.02919      13.0816     0.670807
          290      4.02919      13.0503     0.669218
          291      3.71622      13.0183     0.667685
          292      4.19113       12.988     0.666081
          293      4.19113       12.958     0.664482
          294      4.19113      12.9282     0.662889
          295      4.19113      12.8986     0.661302
          296      2.95327       12.865      0.65992
          297      4.98904      12.8385     0.658229
          298      4.98904      12.8121     0.656545
          299       5.8209      12.7887     0.654763
          300       5.8209      12.7655      0.65299
          301       5.8209      12.7424     0.651226
          302      6.02624      12.7202     0.649447
          303      5.03114      12.6948     0.647797
          304      4.11998      12.6666     0.646278
          305      3.93453       12.638     0.644792
          306      1.24382      12.6008     0.643759
          307      1.24382      12.5638     0.642724
          308       4.3754      12.5372     0.641185
          309       4.3754      12.5108     0.639653
          310       4.3754      12.4845     0.638126
          311      4.74781      12.4596     0.636557
          312      3.06665      12.4295     0.635227
          313      3.06665      12.3996     0.633901
          314      5.64388      12.3781     0.632245
          315      5.64388      12.3567     0.630597
          316      6.16067      12.3371     0.628904
          317      5.01937       12.314     0.627342
          318      5.01937      12.2911     0.625786
          319      5.01937      12.2683     0.624238
          320      2.70635      12.2384     0.623001
          321      4.48674      12.2143     0.621527
          322      5.64197      12.1939     0.619929
          323      5.64197      12.1736      0.61834
          324      5.94272      12.1543     0.616728
          325      5.11829      12.1327     0.615209
          326      4.23445      12.1085     0.613797
          327      4.17147      12.0842     0.612399
          328      5.32304      12.0636     0.610877
          329      5.32304      12.0431     0.609361
          330      4.26175      12.0195      0.60797
          331      4.26175      11.9961     0.606583
          332      1.61028      11.9648     0.605562
          333      1.43137      11.9332     0.604568
          334      1.43137      11.9017     0.603575
          335      1.76091      11.8714     0.602532
          336      2.10866      11.8424     0.601438
          337       3.2583      11.8169     0.600191
          338      5.23711      11.7975      0.59873
          339      4.64387      11.7764     0.597334
          340      6.24004      11.7601     0.595797
          341      6.24004      11.7439     0.594268
