#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         201     1.00466      1.0014 9.51683e-05
         202     1.00472     1.00142 9.61071e-05
         203     1.00478     1.00143 9.70534e-05
         204     1.00484     1.00145 9.80075e-05
         205     1.00491     1.00147 9.89693e-05
         206     1.00497     1.00148  9.9939e-05
         207     1.00503      1.0015 0.000100917
         208      1.0051     1.00152 0.000101902
         209     1.00516     1.00154 0.000102896
         210     1.00523     1.00155 0.000103899
         211      1.0053     1.00157 0.000104909
         212     1.00536     1.00159 0.000105929
         213     1.00543     1.00161 0.000106957
         214      1.0055     1.00163 0.000107993
         215     1.00557     1.00164 0.000109039
         216     1.00564     1.00166 0.000110093
         217     1.00571     1.00168 0.000111157
         218     1.00579      1.0017  0.00011223
         219     1.00586     1.00172 0.000113312
         220     1.00593     1.00174 0.000114404
         221     1.00601     1.00176 0.000115505
         222     1.00608     1.00178 0.000116617
         223     1.00616      1.0018 0.000117738
         224     1.00624     1.00182 0.000118869
         225     1.00632     1.00184 0.000120011
         226     1.00639     1.00186 0.000121162
         227     1.00647     1.00188 0.000122325
         228     1.00656      1.0019 0.000123498
         229     1.00664     1.00192 0.000124681
         230     1.00672     1.00194 0.000125876
         231     1.00681     1.00196 0.000127082
         232     1.00689     1.00198 0.000128299
         233     1.00698       1.002 0.000129527
         234     1.00706     1.00202 0.000130767
         235     1.00715     1.00205 0.000132019
         236     1.00724     1.00207 0.000133283
         237     1.00733     1.00209 0.000134559
         238     1.00742     1.00211 0.000135847
         239     1.00752     1.00214 0.000137147
         240     1.00761     1.00216  0.00013846
         241     1.00771     1.00218 0.000139786
         242      1.0078      1.0022 0.000141125
         243      1.0079     1.00223 0.000142477
         244       1.008     1.00225 0.000143843
         245      1.0081     1.00228 0.000145222
         246      1.0082      1.0023 0.000146614
         247      1.0083     1.00232 0.000148021
         248     1.00841     1.00235 0.000149442
         249     1.00851     1.00237 0.000150877
         250     1.00862      1.0024 0.000152327
         251     1.00872     1.00242 0.000153791
         252     1.00883     1.00245  0.00015527
         253     1.00894     1.00247 0.000156765
         254     1.00906      1.0025 0.000158275
         255     1.00917     1.00253 0.000159801
         256     1.00928     1.00255 0.000161342
         257      1.0094     1.00258 0.000162899
         258     1.00952     1.00261 0.000164473
         259     1.00964     1.00263 0.000166063
         260     1.00976     1.00266 0.000167669
         261     1.00988     1.00269 0.000169293
         262        1.01     1.00272 0.000170933
         263     1.01013     1.00274 0.000172591
         264     1.01026     1.00277 0.000174267
         265     1.01038      1.0028  0.00017596
         266     1.01051     1.00283 0.000177671
         267     1.01065     1.00286   0.0001794
         268     1.01078     1.00289 0.000181148
         269     1.01091     1.00292 0.000182914
         270     1.01105     1.00295 0.000184699
         271     1.01119     1.00298 0.000186503
         272     1.01133     1.00301 0.000188327
         273     1.01147     1.00304 0.000190169
         274     1.01161     1.00307 0.000192032
         275     1.01176      1.0031 0.000193914
         276     1.01191     1.00314 0.000195816
         277     1.01206     1.00317 0.000197738
         278     1.01221      1.0032 0.000199681
         279     1.01236     1.00323 0.000201644
         280     1.01251     1.00327 0.000203628
         281     1.01267      1.0033 0.000205633
         282     1.01282     1.00333 0.000207659
         283     1.01298     1.00337 0.000209705
         284     1.01314      1.0034 0.000211774
         285     1.01331     1.00344 0.000213863
         286     1.01347     1.00347 0.000215974
