# DISTANCE:     AVE_GOFR:        ERROR:
     2.39824    0.949221  0.00278733
     2.42389    0.933549  0.00259534
     2.44954    0.919148  0.00232752
     2.47519     0.90759  0.00104369
     2.50084    0.896406 0.000746121
     2.52649    0.885071  0.00182629
     2.55214    0.884871  0.00365589

   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 9.72615e-06 8.69933e-06
    0.884913  0.00109129 0.000103265
    0.910562   0.0231946 0.000499443
    0.936212    0.163084  0.00243916
    0.961861    0.556536  0.00532389
    0.987511     1.19279  0.00600521
     1.01316     1.86078  0.00541749
     1.03881     2.32062  0.00585527
     1.06446     2.55746  0.00354645
     1.09011     2.54127   0.0111691
     1.11576     2.40838  0.00467569
     1.14141     2.19725  0.00554527
     1.16706     1.97716  0.00454129
     1.19271     1.75401  0.00582523
     1.21836     1.56884  0.00746926
     1.24401     1.39554  0.00514482
     1.26966     1.25445  0.00504882
     1.29531     1.13366  0.00287434
     1.32096     1.03124  0.00244768
     1.34661    0.943195  0.00235086
     1.37226    0.874786  0.00211638
     1.39791    0.820734  0.00268454
     1.42355    0.771354  0.00144334
      1.4492     0.73377  0.00261517
     1.47485    0.707796  0.00392079
      1.5005     0.68904  0.00200148
     1.52615    0.675247  0.00499416
      1.5518    0.674471  0.00288385
     1.57745    0.671715   0.0020698
      1.6031    0.673377  0.00238516
     1.62875    0.686651  0.00293376
      1.6544    0.703701 0.000656466
     1.68005      0.7205  0.00238518
      1.7057    0.747787  0.00157249
     1.73135    0.782151  0.00229814
       1.757    0.811796  0.00297822
     1.78265    0.849641  0.00199899
      1.8083    0.891391  0.00164885
     1.83395    0.931387  0.00216113
      1.8596    0.970939  0.00251168
     1.88525     1.01586  0.00261786
      1.9109     1.05935  0.00212542
     1.93655     1.09423 0.000641995
      1.9622     1.12937  0.00179413
     1.98785     1.15813  0.00119359
      2.0135     1.18589  0.00222977
     2.03915      1.2059  0.00312563
      2.0648     1.21567  0.00154651
     2.09045     1.21611  0.00271553
      2.1161     1.20555  0.00205383
     2.14174     1.19431  0.00360292
     2.16739     1.17063   0.0031124
     2.19304     1.15185  0.00249605
     2.21869     1.12187  0.00278601
     2.24434     1.09697  0.00179347
     2.26999     1.06991  0.00154932
     2.29564     1.04293  0.00215508
     2.32129     1.01739  0.00209784
     2.34694    0.994837  0.00191916
     2.37259    0.971909  0.00145931
     2.39824    0.950753  0.00261698
     2.42389    0.933725  0.00208226
     2.44954    0.919829  0.00195904
     2.47519    0.907935 0.000890217
     2.50084    0.896769 0.000679671
     2.52649    0.884831  0.00147678
     2.55214    0.884977  0.00292624

   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
