#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         387           1    0.970439  0.00518513
         388           1    0.970515  0.00517233
         389           1    0.970591  0.00515958
         390           1    0.970667  0.00514691
         391           1    0.970742  0.00513429
         392           1    0.970816  0.00512173
         393           1    0.970891  0.00510924
         394           1    0.970964  0.00509681
         395           1    0.971038  0.00508443
         396           1    0.971111  0.00507212
         397           1    0.971184  0.00505987
         398           1    0.971256  0.00504767
         399           1    0.971328  0.00503553
         400           1      0.9714  0.00502345
         401           1    0.971471  0.00501143
         402           1    0.971542  0.00499947
         403           1    0.971613  0.00498756
         404           1    0.971683  0.00497571
         405           1    0.971753  0.00496392
         406           1    0.971823  0.00495218
         407           1    0.971892   0.0049405
         408           1    0.971961  0.00492887
         409           1    0.972029  0.00491729
         410           1    0.972098  0.00490577
         411           1    0.972165  0.00489431
         412        0.96    0.972136  0.00488252
         413           1    0.972203  0.00487116
         414           1    0.972271  0.00485986
         415           1    0.972337  0.00484861
         416           1    0.972404  0.00483741
         417           1     0.97247  0.00482626
         418           1    0.972536  0.00481516
         419           1    0.972601  0.00480412
         420           1    0.972667  0.00479312
         421           1    0.972732  0.00478217
         422           1    0.972796  0.00477128
         423           1    0.972861  0.00476043
         424           1    0.972925  0.00474964
         425           1    0.972988  0.00473889
         426           1    0.973052  0.00472819
         427           1    0.973115  0.00471754
         428           1    0.973178  0.00470693
         429           1     0.97324  0.00469637
         430           1    0.973302  0.00468587
         431           1    0.973364   0.0046754
         432           1    0.973426  0.00466499
         433           1    0.973487  0.00465462
         434           1    0.973548  0.00464429
         435           1    0.973609  0.00463401
         436           1     0.97367  0.00462378
         437           1     0.97373  0.00461359
         438           1     0.97379  0.00460345
         439           1     0.97385  0.00459335
         440           1    0.973909  0.00458329
         441           1    0.973968  0.00457328
         442           1    0.974027  0.00456332
         443           1    0.974086  0.00455339
         444           1    0.974144  0.00454351
         445           1    0.974202  0.00453367
         446           1     0.97426  0.00452388
         447           1    0.974318  0.00451412
         448           1    0.974375  0.00450441
         449           1    0.974432  0.00449474
         450           1    0.974489  0.00448511
         451           1    0.974545  0.00447552
         452           1    0.974602  0.00446597
         453           1    0.974658  0.00445647
         454           1    0.974714    0.004447
         455           1    0.974769  0.00443757
         456           1    0.974825  0.00442819
         457           1     0.97488  0.00441884
         458           1    0.974934  0.00440953
         459           1    0.974989  0.00440026
         460           1    0.975043  0.00439103
         461           1    0.975098  0.00438184
         462           1    0.975152  0.00437269
         463           1    0.975205  0.00436358
         464           1    0.975259   0.0043545
         465           1    0.975312  0.00434546
         466           1    0.975365  0.00433646
         467           1    0.975418  0.00432749
         468           1     0.97547  0.00431856
         469           1    0.975522  0.00430967
         470           1    0.975574  0.00430082
         471           1    0.975626    0.004292
         472           1    0.975678  0.00428322
         473           1    0.975729  0.00427447
         474           1    0.975781  0.00426576
         475           1    0.975832  0.00425708
         476           1    0.975882  0.00424844
         477           1    0.975933  0.00423984
         478           1    0.975983  0.00423127
         479           1    0.976033  0.00422273
         480           1    0.976083  0.00421423
         481           1    0.976133  0.00420576
         482           1    0.976183  0.00419732
         483           1    0.976232  0.00418892
         484           1    0.976281  0.00418056
         485           1     0.97633  0.00417222
         486           1    0.976379  0.00416392
         487           1    0.976427  0.00415566
         488           1    0.976475  0.00414742
         489           1    0.976524  0.00413922
         490           1    0.976571  0.00413105
         491           1    0.976619  0.00412291
         492           1    0.976667   0.0041148
         493           1    0.976714  0.00410673
         494           1    0.976761  0.00409869
         495           1    0.976808  0.00409068
         496           1    0.976855   0.0040827
         497           1    0.976901  0.00407475
         498           1    0.976948  0.00406683
         499           1    0.976994  0.00405894
         500           1     0.97704  0.00405108
         501           1    0.977086  0.00404326
         502           1    0.977131  0.00403546
         503           1    0.977177  0.00402769
         504           1    0.977222  0.00401996
         505           1    0.977267  0.00401225
         506           1    0.977312  0.00400457
         507           1    0.977357  0.00399692
         508           1    0.977402   0.0039893
         509           1    0.977446  0.00398171
         510           1     0.97749  0.00397415
         511           1    0.977534  0.00396662
         512           1    0.977578  0.00395911
         513           1    0.977622  0.00395164
         514           1    0.977665  0.00394419
         515           1    0.977709  0.00393677
         516           1    0.977752  0.00392938
         517           1    0.977795  0.00392201
         518           1    0.977838  0.00391467
         519           1    0.977881  0.00390736
         520           1    0.977923  0.00390008
         521           1    0.977965  0.00389283
         522           1    0.978008   0.0038856
         523           1     0.97805   0.0038784
         524           1    0.978092  0.00387122
         525           1    0.978133  0.00386407
         526           1    0.978175  0.00385695
         527           1    0.978216  0.00384985
         528           1    0.978258  0.00384278
         529           1    0.978299  0.00383574
         530           1     0.97834  0.00382872
         531           1     0.97838  0.00382173
         532           1    0.978421  0.00381476
         533           1    0.978462  0.00380782
         534           1    0.978502   0.0038009
         535           1    0.978542  0.00379401
         536           1    0.978582  0.00378714
         537           1    0.978622   0.0037803
         538           1    0.978662  0.00377348
         539           1    0.978701  0.00376669
         540           1    0.978741  0.00375992
         541           1     0.97878  0.00375317
         542           1    0.978819  0.00374645
         543           1    0.978858  0.00373976
         544        0.92     0.97875  0.00373445
         545         0.8    0.978422  0.00374197
         546         0.8    0.978095  0.00374936
         547        0.76    0.977697  0.00376364
         548        0.64     0.97708  0.00380689
         549         0.8    0.976758   0.0038136
         550        0.64    0.976145   0.0038555
         551        0.76    0.975753  0.00386841
         552        0.88     0.97558  0.00386529
         553           1    0.975624  0.00385855
         554           1    0.975668  0.00385184
         555           1    0.975712  0.00384515
         556           1    0.975755  0.00383848
         557           1    0.975799  0.00383183
         558           1    0.975842  0.00382521
         559           1    0.975886  0.00381861
         560           1    0.975929  0.00381204
         561           1    0.975971  0.00380548
         562           1    0.976014  0.00379895
         563           1    0.976057  0.00379244
         564           1    0.976099  0.00378596
         565           1    0.976142  0.00377949
         566           1    0.976184  0.00377305
         567           1    0.976226  0.00376663
         568           1    0.976268  0.00376023
         569           1    0.976309  0.00375385
         570           1    0.976351   0.0037475
         571           1    0.976392  0.00374116
         572           1    0.976434  0.00373485
         573           1    0.976475  0.00372856
         574           1    0.976516  0.00372229
         575           1    0.976557  0.00371604
         576           1    0.976597  0.00370981
         577           1    0.976638   0.0037036
         578           1    0.976678  0.00369742
         579           1    0.976718  0.00369125
         580           1    0.976759   0.0036851
         581           1    0.976799  0.00367898
         582           1    0.976838  0.00367287
         583           1    0.976878  0.00366679
         584           1    0.976918  0.00366072
         585           1    0.976957  0.00365468
         586           1    0.976997  0.00364865
         587           1    0.977036  0.00364265
         588           1    0.977075  0.00363666
         589           1    0.977114  0.00363069
         590           1    0.977153  0.00362475
         591           1    0.977191  0.00361882
         592           1     0.97723  0.00361291
         593           1    0.977268  0.00360702
         594           1    0.977306  0.00360116
         595           1    0.977345  0.00359531
         596           1    0.977383  0.00358947
         597           1     0.97742  0.00358366
         598           1    0.977458  0.00357787
         599           1    0.977496  0.00357209
         600           1    0.977533  0.00356634
         601           1    0.977571   0.0035606
         602           1    0.977608  0.00355488
         603           1    0.977645  0.00354918
         604           1    0.977682  0.00354349
         605           1    0.977719  0.00353783
         606           1    0.977756  0.00353218
         607           1    0.977792  0.00352655
         608           1    0.977829  0.00352094
         609           1    0.977865  0.00351535
         610           1    0.977902  0.00350977
         611           1    0.977938  0.00350421
         612           1    0.977974  0.00349867
         613           1     0.97801  0.00349315
         614           1    0.978046  0.00348765
         615           1    0.978081  0.00348216
         616           1    0.978117  0.00347669
         617           1    0.978152  0.00347123
         618           1    0.978188   0.0034658
         619           1    0.978223  0.00346038
         620           1    0.978258  0.00345497
         621           1    0.978293  0.00344959
         622           1    0.978328  0.00344422
         623           1    0.978363  0.00343886
         624           1    0.978397  0.00343353
         625           1    0.978432  0.00342821
         626           1    0.978466   0.0034229
         627           1    0.978501  0.00341762
         628           1    0.978535  0.00341235
         629           1    0.978569  0.00340709
         630           1    0.978603  0.00340185
         631           1    0.978637  0.00339663
         632           1    0.978671  0.00339143
         633           1    0.978705  0.00338624
         634           1    0.978738  0.00338106
         635           1    0.978772   0.0033759
         636           1    0.978805  0.00337076
         637           1    0.978838  0.00336563
         638           1    0.978871  0.00336052
         639           1    0.978905  0.00335542
         640           1    0.978937  0.00335034
         641           1     0.97897  0.00334528
         642           1    0.979003  0.00334023
         643           1    0.979036  0.00333519
         644           1    0.979068  0.00333017
         645           1    0.979101  0.00332517
         646           1    0.979133  0.00332018
         647           1    0.979165   0.0033152
         648           1    0.979198  0.00331024
         649           1     0.97923   0.0033053
         650           1    0.979262  0.00330037
         651           1    0.979293  0.00329545
         652           1    0.979325  0.00329055
         653           1    0.979357  0.00328566
         654           1    0.979388  0.00328079
         655           1     0.97942  0.00327593
         656           1    0.979451  0.00327109
