#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         590        1.96     1.60197   0.0887954
         591        0.64     1.60034   0.0886601
         592           0     1.59764   0.0885515
         593        0.16     1.59521   0.0884354
         594           1     1.59421   0.0882922
         595           0     1.59153   0.0881844
         596        0.36     1.58946   0.0880607
         597        1.44     1.58921   0.0879135
         598        0.36     1.58716   0.0877906
         599        0.36     1.58511   0.0876679
         600        0.64     1.58353   0.0875359
         601        0.36      1.5815    0.087414
         602        0.16     1.57914   0.0873006
         603        2.56     1.58076    0.087171
         604        0.16     1.57841   0.0870584
         605        0.36      1.5764   0.0869378
         606        0.16     1.57406   0.0868258
         607        0.36     1.57206   0.0867058
         608        0.64     1.57053   0.0865767
         609        0.16     1.56821   0.0864655
         610           0     1.56564    0.086362
         611        0.04     1.56314   0.0862567
         612        0.16     1.56085   0.0861462
         613        0.04     1.55837   0.0860414
         614        0.64     1.55687   0.0859143
         615        0.16      1.5546   0.0858046
         616           0     1.55208   0.0857024
         617        0.04     1.54963   0.0855986
         618           1     1.54874   0.0854647
         619        0.36     1.54682   0.0853482
         620           1     1.54594   0.0852151
         621           1     1.54506   0.0850824
         622        0.36     1.54315   0.0849669
         623        0.16     1.54093   0.0848595
         624        1.44     1.54077   0.0847237
         625        1.44     1.54061   0.0845883
         626        0.64     1.53917   0.0844654
         627        1.44     1.53901   0.0843308
         628        0.36     1.53713   0.0842175
         629        0.16     1.53494    0.084112
         630        0.16     1.53276   0.0840068
         631        0.16     1.53059   0.0839018
         632        0.16     1.52842   0.0837971
         633        0.64     1.52701   0.0836765
         634        1.44     1.52688   0.0835446
         635        0.36     1.52504   0.0834333
         636        0.64     1.52365   0.0833137
         637           0     1.52126   0.0832172
         638        0.64     1.51987   0.0830982
         639        0.16     1.51775   0.0829954
         640        0.04     1.51544   0.0828979
         641        0.36     1.51363   0.0827881
         642        2.56     1.51526   0.0826752
         643           9     1.52691   0.0833621
         644        3.24     1.52957   0.0832751
         645        0.64     1.52819   0.0831574
         646           0     1.52582   0.0830623
         647        3.24     1.52847   0.0829762
         648        1.96     1.52914   0.0828508
         649           1     1.52832   0.0827271
         650        0.36     1.52652   0.0826194
         651        3.24     1.52916   0.0825344
         652        1.96     1.52982   0.0824104
         653        0.36     1.52802   0.0823037
         654           0     1.52569    0.082211
         655        0.64     1.52434   0.0820966
         656        0.16     1.52226   0.0819978
         657        0.16     1.52018   0.0818992
         658        0.04     1.51793   0.0818056
         659        0.04     1.51569   0.0817122
         660        0.04     1.51345    0.081619
         661        0.36     1.51171   0.0815142
         662           1     1.51094   0.0813947
         663        1.96     1.51161   0.0812748
         664        1.44     1.51151   0.0811525
         665        3.24     1.51411    0.081072
         666        1.96     1.51477   0.0809531
         667        0.16     1.51274   0.0808572
         668           4     1.51647   0.0808218
         669        0.36     1.51474   0.0807195
         670        0.64     1.51343   0.0806096
         671        4.84     1.51839   0.0806417
         672           1     1.51762   0.0805254
         673        0.64     1.51632   0.0804163
         674           0     1.51407   0.0803285
         675           0     1.51182   0.0802408
         676        0.64     1.51053   0.0801325
         677        4.84     1.51545   0.0801649
         678        0.16     1.51345   0.0800716
         679        0.36     1.51175   0.0799716
         680           1       1.511   0.0798576
         681           1     1.51025   0.0797438
         682        0.64     1.50897   0.0796371
         683           1     1.50823    0.079524
         684        0.36     1.50655   0.0794255
         685        0.64     1.50528   0.0793196
         686        0.16     1.50332   0.0792282
         687        0.16     1.50137    0.079137
         688        0.04     1.49924   0.0790505
         689        0.04     1.49713   0.0789641
         690        3.24     1.49965   0.0788901
         691           4     1.50327   0.0788588
         692        0.64     1.50202   0.0787547
         693        0.36     1.50038   0.0786583
         694        0.36     1.49873   0.0785622
         695           0     1.49658   0.0784787
         696        1.44     1.49649    0.078366
         697        0.16     1.49458    0.078277
