#       STEP:  	 	 BETA:	  		MU:       SIGMA:       H_AVE:       ERROR:
           46            4    -0.402446    -0.751236    -0.171323    0.0150422
           47            4    -0.544015    -0.798505    -0.296498    0.0178242
           48            4    -0.579534    -0.686871    -0.318415     0.010487
           49            4    -0.405183    -0.806898    -0.256689    0.0140409
           50            4    -0.441712    -0.672622    -0.142319    0.0152102
            1            5     -0.44491    -0.598444    -0.100162    0.0179878
            2            5    -0.636374     -0.74496    -0.340376    0.0138409
            3            5    -0.754368    -0.671314    -0.434791    0.0141697
            4            5    -0.632646    -0.525195    -0.299464     0.013286
            5            5    -0.632646    -0.525195    -0.299464    0.0294907
            6            5    -0.632646    -0.525195    -0.299464    0.0236961
            7            5    -0.632646    -0.525195    -0.299464    0.0122653
            8            5    -0.715864    -0.681945    -0.407091   0.00940441
            9            5    -0.714434      -0.5921     -0.41457   0.00906726
           10            5    -0.714434      -0.5921     -0.41457    0.0382221
           11            5    -0.828565    -0.701312    -0.420564    0.0130591
           12            5    -0.828565    -0.701312    -0.420564    0.0144417
           13            5     -0.76871     -0.79226    -0.322141    0.0265086
           14            5    -0.834935    -0.772343    -0.314593    0.0285852
           15            5    -0.834935    -0.772343    -0.314593     0.068412
           16            5    -0.834935    -0.772343    -0.314593     0.078389
           17            5    -0.834935    -0.772343    -0.314593     0.033236
           18            5    -0.949502    -0.610939    -0.339625    0.0153022
           19            5    -0.901998    -0.484838    -0.166564    0.0172313
           20            5    -0.901998    -0.484838    -0.166564    0.0441505
           21            5    -0.901998    -0.484838    -0.166564    0.0256572
           22            5    -0.867355    -0.587558    -0.432634   0.00564642
           23            5    -0.867355    -0.587558    -0.432634     0.025714
           24            5    -0.805724    -0.707898     -0.38396    0.0186653
           25            5    -0.695769     -0.60216     -0.39805   0.00740494
           26            5    -0.814267    -0.540648    -0.388626    0.0119816
           27            5    -0.814267    -0.540648    -0.388626    0.0466845
           28            5    -0.821037    -0.490066    -0.265967    0.0179534
           29            5    -0.821037    -0.490066    -0.265967    0.0325346
           30            5    -0.955073    -0.488798     -0.15221    0.0157403
           31            5    -0.955073    -0.488798     -0.15221    0.0321738
           32            5    -0.955073    -0.488798     -0.15221    0.0361286
           33            5    -0.955073    -0.488798     -0.15221    0.0591063
           34            5     -1.04139    -0.433696     0.159945    0.0249289
           35            5     -1.04139    -0.433696     0.159945     0.117864
           36            5     -1.23311    -0.583244      0.33457    0.0429115
           37            5     -1.23311    -0.583244      0.33457    0.0469401
           38            5     -1.23311    -0.583244      0.33457     0.150286
           39            5     -1.23311    -0.583244      0.33457     0.056385
           40            5     -1.23311    -0.583244      0.33457    0.0322765
           41            5     -1.09803    -0.402796     0.313844    0.0373925
           42            5     -1.23254    -0.502585     0.345068    0.0254222
           43            5     -1.21434    -0.628735     0.315114    0.0496293
           44            5     -1.14692    -0.431663     0.257894    0.0261068
           45            5     -1.14692    -0.431663     0.257894     0.102012
           46            5     -1.19573    -0.500816     0.242299    0.0211954
           47            5    -0.998544    -0.424252     0.116699     0.036195
           48            5     -1.13032    -0.513116     0.049139    0.0214294
           49            5     -1.13032    -0.513116     0.049139    0.0515399
           50            5     -1.13032    -0.513116     0.049139    0.0292984
            1            6     -1.04768    -0.461426    0.0272788    0.0199791
            2            6     -1.04768    -0.461426    0.0272788    0.0303644
            3            6     -1.04768    -0.461426    0.0272788    0.0377557
            4            6     -1.04768    -0.461426    0.0272788    0.0342542
            5            6    -0.951238    -0.552945     -0.29983    0.0100089
            6            6    -0.813436    -0.540151    -0.378261    0.0110114
            7            6    -0.739603    -0.646176    -0.414189    0.0128699
            8            6    -0.739603    -0.646176    -0.414189    0.0303881
            9            6    -0.660627    -0.705731    -0.364101    0.0115797
           10            6    -0.802606    -0.608919    -0.454387     0.004963
           11            6    -0.802606    -0.608919    -0.454387    0.0196768
           12            6    -0.910406    -0.692344    -0.284663     0.030806
           13            6    -0.959263    -0.785488    -0.212212     0.040977
           14            6    -0.878658    -0.648278    -0.406818    0.0139848
           15            6    -0.792844    -0.714229     -0.42441    0.0131877
           16            6    -0.639392    -0.764658    -0.346899    0.0112556
           17            6    -0.639392    -0.764658    -0.346899    0.0612364
           18            6    -0.617557    -0.740119    -0.326681    0.0150444
           19            6     -0.60495     -0.76282    -0.329033    0.0112547
           20            6    -0.639417    -0.745538    -0.303457    0.0200968
           21            6    -0.702225    -0.727963     -0.34842    0.0150441
           22            6    -0.612461    -0.744733    -0.357092    0.0106331
           23            6    -0.612461    -0.744733    -0.357092    0.0138185
           24            6    -0.668599    -0.654126    -0.390047   0.00832699
           25            6    -0.668599    -0.654126    -0.390047   0.00975955
           26            6    -0.760345    -0.720847    -0.338883    0.0277469
           27            6    -0.647875    -0.594124     -0.36937    0.0110995
           28            6    -0.786547    -0.509926    -0.317963    0.0153473
           29            6    -0.904515    -0.489216    -0.237123    0.0172631
           30            6    -0.774279    -0.580428    -0.425204    0.0060688
           31            6    -0.774279    -0.580428    -0.425204    0.0252082
           32            6    -0.774279    -0.580428    -0.425204    0.0147023
           33            6    -0.751409    -0.639858    -0.445096   0.00664077
           34            6    -0.907116    -0.544902    -0.365823    0.0129161
           35            6    -0.916677    -0.647151    -0.387148    0.0159302
           36            6    -0.916677    -0.647151    -0.387148    0.0651588
           37            6    -0.835249    -0.568407    -0.423099   0.00786929
           38            6    -0.835249    -0.568407    -0.423099    0.0268079
           39            6    -0.835249    -0.568407    -0.423099     0.029994
           40            6    -0.835249    -0.568407    -0.423099   0.00762242
           41            6    -0.870043    -0.615572    -0.415456    0.0156034
           42            6    -0.738643    -0.533142    -0.360162    0.0129337
           43            6    -0.738643    -0.533142    -0.360162    0.0329596
           44            6    -0.747471    -0.550874    -0.388503    0.0107309
           45            6    -0.786186    -0.546539    -0.384469   0.00867637
           46            6     -0.93032    -0.541749    -0.289299    0.0105688
           47            6     -0.80294    -0.702493    -0.389864     0.016869
           48            6     -0.80294    -0.702493    -0.389864    0.0189536
           49            6    -0.708856    -0.773121    -0.329146    0.0265009
           50            6     -0.58741    -0.707477    -0.299346    0.0135071
            1            7    -0.586544    -0.670483    -0.314294    0.0110309
            2            7    -0.472604    -0.674619    -0.182365    0.0156229
            3            7    -0.480097    -0.778069    -0.244313    0.0151864
            4            7    -0.356674    -0.789374    -0.188436    0.0155056
            5            7    -0.433741    -0.790306     -0.22733    0.0148075
            6            7    -0.344389    -0.870986    -0.245734    0.0137719
            7            7    -0.322234    -0.824042      -0.2184    0.0149907
            8            7    -0.401722    -0.965652    -0.264496    0.0154005
            9            7     -0.29426    -0.994459    -0.255803    0.0173984
           10            7    -0.285529     -1.08793    -0.227127    0.0308103
           11            7    -0.191758     -1.06274     -0.25703    0.0234084
           12            7    -0.243488     -1.09613    -0.179807    0.0469461
           13            7    -0.115562     -1.13744    -0.159905     0.058984
           14            7    -0.115562     -1.13744    -0.159905    0.0839794
           15            7   -0.0504997     -1.19951    -0.047582     0.061696
           16            7   -0.0504997     -1.19951    -0.047582     0.106746
           17            7     -0.13512     -1.23736   -0.0543044    0.0569682
           18            7    -0.269329     -1.14462   -0.0965474    0.0672952
           19            7    -0.227106     -1.01032    -0.237926    0.0226925
           20            7    -0.235611    -0.921056    -0.242032    0.0228995
           21            7    -0.249651     -1.00843    -0.267574    0.0197594
           22            7    -0.271443     -0.93117    -0.257777    0.0178941
           23            7    -0.317711    -0.825192    -0.202528    0.0138211
           24            7    -0.345759    -0.753794    -0.145023    0.0162051
           25            7    -0.345759    -0.753794    -0.145023    0.0216461
           26            7    -0.345759    -0.753794    -0.145023     0.018513
           27            7    -0.283876    -0.753521    -0.120817    0.0165879
           28            7     -0.41328    -0.886671    -0.255521    0.0334519
           29            7     -0.53717    -0.855479    -0.296368    0.0149216
           30            7     -0.53717    -0.855479    -0.296368    0.0506564
           31            7    -0.658369    -0.762138    -0.350737    0.0174467
           32            7    -0.549719    -0.899317    -0.286072    0.0197442
           33            7    -0.549719    -0.899317    -0.286072    0.0605937
           34            7    -0.461039    -0.823018     -0.25831    0.0174465
           35            7    -0.434072    -0.907522    -0.241094    0.0240993
           36            7    -0.481104    -0.901762    -0.293426    0.0166058
           37            7    -0.594263    -0.824227    -0.299845    0.0243386
           38            7     -0.48188    -0.753303    -0.282308    0.0131984
           39            7    -0.501549    -0.714501     -0.26144    0.0151765
           40            7    -0.613558    -0.635924    -0.332866    0.0103282
           41            7    -0.699322    -0.517088    -0.333838     0.013594
           42            7    -0.699322    -0.517088    -0.333838    0.0309052
           43            7    -0.699322    -0.517088    -0.333838     0.027255
           44            7    -0.806549    -0.599115    -0.454033   0.00602602
           45            7    -0.820367    -0.630084    -0.440471   0.00880123
           46            7    -0.701689    -0.510513    -0.312074     0.017178
           47            7    -0.701689    -0.510513    -0.312074    0.0276701
           48            7    -0.583873    -0.572131    -0.274511     0.012858
           49            7    -0.722855    -0.624008    -0.416917   0.00677089
           50            7    -0.665666    -0.691446    -0.370593    0.0106343
            1            8    -0.772812    -0.634772    -0.420681   0.00995813
            2            8    -0.835581    -0.684072    -0.404614     0.015046
            3            8    -0.835581    -0.684072    -0.404614    0.0394109
            4            8    -0.820609    -0.586501    -0.428573   0.00716794
            5            8    -0.820609    -0.586501    -0.428573    0.0211678
            6            8    -0.866312    -0.558782     -0.40677   0.00846969
            7            8    -0.791287    -0.663386    -0.427579   0.00956174
            8            8     -0.74555    -0.668776       -0.405   0.00959553
            9            8     -0.85288    -0.581679    -0.420711   0.00789876
