#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         701    0.786008    0.777128    0.005846
         702    0.780267    0.777133  0.00583767
         703    0.774395    0.777129  0.00582937
         704    0.768409    0.777116   0.0058211
         705    0.762325    0.777095  0.00581288
         706    0.756167    0.777066  0.00580472
         707    0.749958    0.777027  0.00579664
         708    0.743722     0.77698  0.00578864
         709    0.737483    0.776925  0.00578075
         710    0.731264     0.77686  0.00577296
         711    0.725096    0.776787   0.0057653
         712    0.719008    0.776706  0.00575778
         713    0.713029    0.776617  0.00575039
         714    0.707189     0.77652  0.00574316
         715     0.70152    0.776415  0.00573609
         716    0.696051    0.776303  0.00572917
         717     0.69081    0.776183  0.00572242
         718     0.68583    0.776058  0.00571584
         719    0.681139    0.775926  0.00570941
         720    0.676765    0.775788  0.00570314
         721    0.672734    0.775645  0.00569702
         722     0.66907    0.775497  0.00569105
         723    0.665797    0.775346   0.0056852
         724    0.662935     0.77519  0.00567946
         725    0.660503    0.775032  0.00567383
         726    0.658518    0.774872  0.00566829
         727    0.656992    0.774709  0.00566281
         728    0.655935    0.774546  0.00565738
         729    0.655351    0.774383  0.00565198
         730    0.655246     0.77422  0.00564659
         731    0.655618    0.774057   0.0056412
         732    0.656467    0.773897  0.00563578
         733    0.657789    0.773738  0.00563032
         734    0.659575    0.773583  0.00562479
