#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         290     1.16808     1.13163   0.0207016
         291     1.17088     1.13176   0.0206309
         292      1.1735     1.13191   0.0205608
         293     1.17594     1.13206   0.0204911
         294     1.17819     1.13221    0.020422
         295     1.18026     1.13238   0.0203535
         296     1.18216     1.13254   0.0202854
         297     1.18389     1.13272   0.0202178
         298     1.18546     1.13289   0.0201508
         299     1.18689     1.13307   0.0200842
         300     1.18818     1.13326   0.0200181
         301     1.18935     1.13344   0.0199524
         302     1.19041     1.13363   0.0198873
         303     1.19137     1.13382   0.0198225
         304     1.19226     1.13402   0.0197583
         305     1.19307     1.13421   0.0196944
         306     1.19383      1.1344    0.019631
         307     1.19454      1.1346   0.0195681
         308     1.19523      1.1348   0.0195055
         309     1.19589     1.13499   0.0194434
         310     1.19654     1.13519   0.0193817
         311      1.1972     1.13539   0.0193204
         312     1.19787     1.13559   0.0192595
         313     1.19856     1.13579    0.019199
         314     1.19929       1.136    0.019139
         315     1.20005      1.1362   0.0190793
         316     1.20087      1.1364     0.01902
         317     1.20174     1.13661   0.0189611
         318     1.20267     1.13682   0.0189026
         319     1.20367     1.13703   0.0188445
         320     1.20474     1.13724   0.0187868
         321     1.20589     1.13745   0.0187295
         322     1.20711     1.13767   0.0186726
         323     1.20841     1.13789   0.0186161
         324     1.20979     1.13811   0.0185599
         325     1.21124     1.13833   0.0185042
         326     1.21278     1.13856   0.0184488
         327     1.21439      1.1388   0.0183939
         328     1.21607     1.13903   0.0183393
         329     1.21782     1.13927   0.0182851
         330     1.21963     1.13951   0.0182313
         331     1.22149     1.13976   0.0181779
         332     1.22339     1.14001   0.0181249
         333     1.22532     1.14027   0.0180723
         334     1.22728     1.14053   0.0180201
         335     1.22924     1.14079   0.0179682
         336      1.2312     1.14106   0.0179168
         337     1.23314     1.14134   0.0178657
         338     1.23506     1.14161    0.017815
         339     1.23693      1.1419   0.0177647
         340     1.23874     1.14218   0.0177147
         341     1.24049     1.14247   0.0176651
         342     1.24216     1.14276   0.0176158
         343     1.24372     1.14305   0.0175669
         344     1.24518     1.14335   0.0175184
         345     1.24653     1.14365   0.0174702
         346     1.24774     1.14395   0.0174223
         347     1.24882     1.14425   0.0173747
         348     1.24975     1.14456   0.0173274
         349     1.25053     1.14486   0.0172804
         350     1.25115     1.14516   0.0172337
         351      1.2516     1.14547   0.0171873
         352     1.25189     1.14577   0.0171411
         353     1.25199     1.14607   0.0170952
         354     1.25193     1.14637   0.0170495
         355     1.25169     1.14667   0.0170041
         356     1.25127     1.14696   0.0169588
         357     1.25067     1.14725   0.0169138
         358      1.2499     1.14754    0.016869
         359     1.24895     1.14782   0.0168244
         360     1.24784      1.1481   0.0167799
         361     1.24656     1.14837   0.0167357
         362     1.24513     1.14864   0.0166916
         363     1.24354      1.1489   0.0166476
         364      1.2418     1.14915   0.0166039
         365     1.23992      1.1494   0.0165602
         366      1.2379     1.14964   0.0165168
         367     1.23575     1.14988   0.0164734
         368     1.23348     1.15011   0.0164302
         369     1.23109     1.15033   0.0163872
         370      1.2286     1.15054   0.0163442
         371     1.22601     1.15074   0.0163014
         372     1.22333     1.15094   0.0162588
         373     1.22058     1.15112   0.0162163
         374     1.21775      1.1513   0.0161739
         375     1.21487     1.15147   0.0161316
         376     1.21194     1.15163   0.0160895
         377     1.20899     1.15178   0.0160476
         378     1.20602     1.15193   0.0160058
         379     1.20305     1.15206   0.0159641
         380      1.2001     1.15219   0.0159226
         381     1.19718     1.15231   0.0158812
         382      1.1943     1.15242   0.0158401
         383     1.19149     1.15252    0.015799
         384     1.18874     1.15261   0.0157582
         385     1.18609      1.1527   0.0157175
         386     1.18355     1.15278    0.015677
         387     1.18112     1.15285   0.0156366
         388     1.17883     1.15292   0.0155965
         389     1.17668     1.15298   0.0155565
         390     1.17469     1.15304   0.0155167
         391     1.17287     1.15309   0.0154771
         392     1.17122     1.15313   0.0154377
         393     1.16975     1.15318   0.0153985
         394     1.16847     1.15321   0.0153594
         395     1.16738     1.15325   0.0153206
         396     1.16648     1.15328   0.0152819
         397     1.16578     1.15332   0.0152435
         398     1.16525     1.15335   0.0152052
         399      1.1649     1.15337   0.0151671
         400     1.16473      1.1534   0.0151292
         401     1.16472     1.15343   0.0150915
         402     1.16488     1.15346    0.015054
         403     1.16518     1.15349   0.0150167
         404     1.16562     1.15352   0.0149795
