#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         251     2.74231     2.74278 1.85219e-05
         252     2.74231     2.74278 1.85423e-05
         253     2.74231     2.74278 1.85637e-05
         254     2.74231     2.74278 1.85841e-05
         255      2.7423     2.74278 1.86045e-05
         256      2.7423     2.74277  1.8624e-05
         257      2.7423     2.74277 1.86426e-05
         258      2.7423     2.74277 1.86612e-05
         259      2.7423     2.74277 1.86789e-05
         260     2.74229     2.74277 1.86959e-05
         261      2.7423     2.74276 1.87111e-05
         262      2.7423     2.74276 1.87247e-05
         263     2.74229     2.74276 1.87393e-05
         264     2.74229     2.74276 1.87541e-05
         265     2.74229     2.74276 1.87681e-05
         266     2.74228     2.74276  1.8783e-05
         267     2.74228     2.74275 1.87973e-05
         268     2.74228     2.74275 1.88117e-05
         269     2.74228     2.74275 1.88246e-05
         270     2.74227     2.74275 1.88376e-05
         271     2.74227     2.74275 1.88508e-05
         272     2.74227     2.74274 1.88642e-05
         273     2.74226     2.74274 1.88769e-05
         274     2.74226     2.74274 1.88899e-05
         275     2.74226     2.74274 1.89021e-05
         276     2.74225     2.74274  1.8917e-05
         277     2.74225     2.74274 1.89321e-05
         278     2.74225     2.74273 1.89457e-05
         279     2.74224     2.74273 1.89594e-05
         280     2.74224     2.74273 1.89718e-05
         281     2.74224     2.74273 1.89836e-05
         282     2.74224     2.74273 1.89942e-05
         283     2.74224     2.74273 1.90034e-05
         284     2.74224     2.74272 1.90122e-05
         285     2.74224     2.74272 1.90212e-05
         286     2.74224     2.74272 1.90297e-05
         287     2.74223     2.74272   1.904e-05
         288     2.74223     2.74272 1.90506e-05
         289     2.74222     2.74272 1.90606e-05
         290     2.74222     2.74271 1.90709e-05
         291     2.74222     2.74271 1.90808e-05
         292     2.74222     2.74271 1.90902e-05
         293     2.74222     2.74271 1.90985e-05
         294     2.74222     2.74271 1.91063e-05
         295     2.74222     2.74271 1.91137e-05
         296     2.74221      2.7427 1.91222e-05
         297     2.74221      2.7427  1.9131e-05
         298      2.7422      2.7427 1.91393e-05
         299      2.7422      2.7427 1.91473e-05
         300      2.7422      2.7427 1.91549e-05
         301      2.7422      2.7427 1.91622e-05
         302      2.7422     2.74269 1.91697e-05
         303     2.74219     2.74269 1.91776e-05
         304     2.74219     2.74269 1.91852e-05
         305     2.74219     2.74269 1.91917e-05
         306     2.74219     2.74269  1.9198e-05
         307     2.74219     2.74269 1.92039e-05
         308     2.74218     2.74268 1.92115e-05
         309     2.74218     2.74268 1.92188e-05
         310     2.74217     2.74268 1.92265e-05
         311     2.74218     2.74268 1.92332e-05
         312     2.74217     2.74268 1.92402e-05
         313     2.74217     2.74268 1.92464e-05
         314     2.74217     2.74267 1.92516e-05
         315     2.74217     2.74267 1.92567e-05
         316     2.74217     2.74267 1.92614e-05
         317     2.74217     2.74267  1.9266e-05
         318     2.74216     2.74267  1.9271e-05
         319     2.74216     2.74267 1.92757e-05
         320     2.74216     2.74266 1.92803e-05
         321     2.74216     2.74266 1.92852e-05
         322     2.74215     2.74266 1.92906e-05
         323     2.74215     2.74266 1.92964e-05
         324     2.74215     2.74266  1.9302e-05
         325     2.74214     2.74266  1.9308e-05
         326     2.74214     2.74265 1.93138e-05
         327     2.74214     2.74265   1.932e-05
         328     2.74213     2.74265 1.93273e-05
         329     2.74212     2.74265 1.93349e-05
         330     2.74213     2.74265 1.93412e-05
