#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         222     2.78498     2.77808 0.000195365
         223     2.78509     2.77812 0.000196997
         224      2.7852     2.77815 0.000198639
         225     2.78531     2.77818 0.000200289
         226     2.78542     2.77821 0.000201948
         227     2.78553     2.77824 0.000203617
         228     2.78564     2.77828 0.000205295
         229     2.78576     2.77831 0.000206983
         230     2.78587     2.77834  0.00020868
         231     2.78599     2.77838 0.000210386
         232     2.78611     2.77841 0.000212102
         233     2.78622     2.77844 0.000213827
         234     2.78634     2.77848 0.000215563
         235     2.78646     2.77851 0.000217308
         236     2.78658     2.77854 0.000219063
         237      2.7867     2.77858 0.000220827
         238     2.78683     2.77861 0.000222602
         239     2.78695     2.77865 0.000224387
         240     2.78707     2.77868 0.000226181
         241      2.7872     2.77872 0.000227986
         242     2.78732     2.77875 0.000229801
         243     2.78745     2.77879 0.000231626
         244     2.78758     2.77883 0.000233462
         245     2.78771     2.77886 0.000235308
         246     2.78784      2.7789 0.000237164
         247     2.78797     2.77894 0.000239031
         248      2.7881     2.77897 0.000240908
         249     2.78824     2.77901 0.000242796
         250     2.78837     2.77905 0.000244695
         251      2.7885     2.77908 0.000246605
         252     2.78864     2.77912 0.000248525
         253     2.78878     2.77916 0.000250456
         254     2.78892      2.7792 0.000252398
         255     2.78906     2.77924 0.000254352
         256      2.7892     2.77928 0.000256316
         257     2.78934     2.77932 0.000258291
         258     2.78948     2.77935 0.000260278
         259     2.78962     2.77939 0.000262276
         260     2.78977     2.77943 0.000264286
         261     2.78992     2.77947 0.000266307
         262     2.79006     2.77952 0.000268339
         263     2.79021     2.77956 0.000270383
         264     2.79036      2.7796 0.000272439
         265     2.79051     2.77964 0.000274506
         266     2.79066     2.77968 0.000276585
         267     2.79082     2.77972 0.000278676
         268     2.79097     2.77976 0.000280779
         269     2.79112     2.77981 0.000282895
         270     2.79128     2.77985 0.000285022
         271     2.79144     2.77989 0.000287161
         272      2.7916     2.77993 0.000289313
         273     2.79176     2.77998 0.000291477
         274     2.79192     2.78002 0.000293654
         275     2.79208     2.78006 0.000295843
         276     2.79224     2.78011 0.000298044
         277     2.79241     2.78015 0.000300258
         278     2.79258      2.7802 0.000302485
         279     2.79274     2.78024 0.000304725
         280     2.79291     2.78029 0.000306978
         281     2.79308     2.78033 0.000309244
         282     2.79325     2.78038 0.000311523
         283     2.79343     2.78043 0.000313815
         284      2.7936     2.78047  0.00031612
         285     2.79378     2.78052 0.000318439
         286     2.79395     2.78057 0.000320771
         287     2.79413     2.78061 0.000323116
         288     2.79431     2.78066 0.000325475
         289     2.79449     2.78071 0.000327848
         290     2.79467     2.78076 0.000330234
         291     2.79486      2.7808 0.000332635
         292     2.79504     2.78085 0.000335049
         293     2.79523      2.7809 0.000337478
         294     2.79541     2.78095  0.00033992
         295      2.7956       2.781 0.000342377
         296     2.79579     2.78105 0.000344848
         297     2.79599      2.7811 0.000347333
         298     2.79618     2.78115 0.000349833
         299     2.79637      2.7812 0.000352348
         300     2.79657     2.78125 0.000354877
         301     2.79677     2.78131 0.000357421
         302     2.79697     2.78136  0.00035998
         303     2.79717     2.78141 0.000362554
         304     2.79737     2.78146 0.000365142
         305     2.79757     2.78152 0.000367747
         306     2.79778     2.78157 0.000370366
         307     2.79799     2.78162 0.000373001
         308      2.7982     2.78168 0.000375651
         309     2.79841     2.78173 0.000378317
         310     2.79862     2.78178 0.000380998
         311     2.79883     2.78184 0.000383696
         312     2.79905     2.78189 0.000386409
         313     2.79926     2.78195 0.000389138
         314     2.79948     2.78201 0.000391884
         315      2.7997     2.78206 0.000394645
         316     2.79992     2.78212 0.000397423
         317     2.80015     2.78218 0.000400218
         318     2.80037     2.78223 0.000403029
         319      2.8006     2.78229 0.000405857
         320     2.80083     2.78235 0.000408701
         321     2.80106     2.78241 0.000411563
         322     2.80129     2.78246 0.000414442
         323     2.80152     2.78252 0.000417338
         324     2.80176     2.78258 0.000420251
         325       2.802     2.78264 0.000423182
         326     2.80224      2.7827  0.00042613
         327     2.80248     2.78276 0.000429096
         328     2.80272     2.78282  0.00043208
         329     2.80297     2.78289 0.000435082
         330     2.80321     2.78295 0.000438103
         331     2.80346     2.78301 0.000441141
         332     2.80371     2.78307 0.000444198
         333     2.80397     2.78313 0.000447274
         334     2.80422      2.7832 0.000450368
         335     2.80448     2.78326 0.000453481
         336     2.80474     2.78332 0.000456614
         337       2.805     2.78339 0.000459765
         338     2.80526     2.78345 0.000462936
         339     2.80553     2.78352 0.000466127
         340     2.80579     2.78358 0.000469337
         341     2.80606     2.78365 0.000472567
         342     2.80633     2.78372 0.000475818
         343     2.80661     2.78378 0.000479088
         344     2.80688     2.78385 0.000482379
         345     2.80716     2.78392 0.000485691
         346     2.80744     2.78399 0.000489023
         347     2.80773     2.78405 0.000492376
         348     2.80801     2.78412  0.00049575
         349      2.8083     2.78419 0.000499146
         350     2.80859     2.78426 0.000502563
         351     2.80888     2.78433 0.000506002
         352     2.80918      2.7844 0.000509463
         353     2.80947     2.78447 0.000512946
         354     2.80977     2.78455 0.000516451
         355     2.81007     2.78462 0.000519979
         356     2.81038     2.78469  0.00052353
         357     2.81069     2.78476 0.000527103
         358       2.811     2.78484   0.0005307
         359     2.81131     2.78491 0.000534321
         360     2.81162     2.78498 0.000537964
         361     2.81194     2.78506 0.000541632
         362     2.81226     2.78513 0.000545324
         363     2.81258     2.78521  0.00054904
         364     2.81291     2.78529 0.000552781
         365     2.81324     2.78536 0.000556547
         366     2.81357     2.78544 0.000560337
         367     2.81391     2.78552 0.000564154
         368     2.81424     2.78559 0.000567995
         369     2.81458     2.78567 0.000571863
         370     2.81493     2.78575 0.000575756
         371     2.81527     2.78583 0.000579677
         372     2.81562     2.78591 0.000583623
         373     2.81597     2.78599 0.000587597
         374     2.81633     2.78607 0.000591598
         375     2.81669     2.78616 0.000595626
         376     2.81705     2.78624 0.000599683
         377     2.81741     2.78632 0.000603767
         378     2.81778      2.7864  0.00060788
         379     2.81815     2.78649 0.000612021
         380     2.81853     2.78657 0.000616191
         381     2.81891     2.78666 0.000620391
         382     2.81929     2.78674 0.000624621
         383     2.81967     2.78683  0.00062888
         384     2.82006     2.78691 0.000633169
         385     2.82045       2.787  0.00063749
         386     2.82085     2.78709 0.000641841
         387     2.82125     2.78718 0.000646223
         388     2.82165     2.78727 0.000650637
         389     2.82206     2.78736 0.000655083
         390     2.82247     2.78745 0.000659561
         391     2.82288     2.78754 0.000664071
         392      2.8233     2.78763 0.000668615
         393     2.82372     2.78772 0.000673192
         394     2.82415     2.78781 0.000677802
         395     2.82458      2.7879 0.000682447
         396     2.82501       2.788 0.000687126
         397     2.82545     2.78809 0.000691839
         398     2.82589     2.78819 0.000696588
         399     2.82633     2.78828 0.000701372
         400     2.82678     2.78838 0.000706192
         401     2.82724     2.78848 0.000711048
         402     2.82769     2.78857  0.00071594
