#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         393     1.88248     1.85848 0.000448795
         394     1.88276     1.85854 0.000451868
         395     1.88305      1.8586 0.000454965
         396     1.88334     1.85867 0.000458084
         397     1.88363     1.85873 0.000461226
         398     1.88393     1.85879 0.000464392
         399     1.88422     1.85886 0.000467581
         400     1.88452     1.85892 0.000470795
         401     1.88482     1.85898 0.000474032
         402     1.88513     1.85905 0.000477294
         403     1.88544     1.85911  0.00048058
         404     1.88575     1.85918 0.000483891
         405     1.88606     1.85925 0.000487227
         406     1.88638     1.85931 0.000490589
         407      1.8867     1.85938 0.000493976
         408     1.88702     1.85945 0.000497389
         409     1.88735     1.85952 0.000500828
         410     1.88767     1.85959 0.000504293
         411     1.88801     1.85966 0.000507785
         412     1.88834     1.85972 0.000511303
         413     1.88868     1.85979 0.000514849
         414     1.88902     1.85987 0.000518421
         415     1.88936     1.85994 0.000522021
         416     1.88971     1.86001 0.000525649
         417     1.89006     1.86008 0.000529305
         418     1.89041     1.86015 0.000532988
         419     1.89076     1.86023   0.0005367
         420     1.89112      1.8603  0.00054044
         421     1.89148     1.86037 0.000544209
         422     1.89185     1.86045 0.000548007
         423     1.89222     1.86052 0.000551834
         424     1.89259      1.8606  0.00055569
         425     1.89296     1.86067 0.000559575
         426     1.89334     1.86075 0.000563489
         427     1.89372     1.86083 0.000567433
         428      1.8941     1.86091 0.000571407
         429     1.89448     1.86098  0.00057541
         430     1.89487     1.86106 0.000579443
         431     1.89526     1.86114 0.000583505
         432     1.89565     1.86122 0.000587598
         433     1.89605      1.8613  0.00059172
         434     1.89645     1.86138 0.000595872
         435     1.89685     1.86147 0.000600054
         436     1.89725     1.86155 0.000604266
         437     1.89766     1.86163 0.000608507
         438     1.89807     1.86171 0.000612777
         439     1.89848      1.8618 0.000617077
         440     1.89889     1.86188 0.000621405
         441      1.8993     1.86197 0.000625762
         442     1.89972     1.86205 0.000630148
         443     1.90013     1.86214 0.000634562
         444     1.90055     1.86222 0.000639003
         445     1.90097     1.86231 0.000643472
         446     1.90139      1.8624 0.000647968
         447     1.90181     1.86249 0.000652489
         448     1.90223     1.86258 0.000657036
         449     1.90265     1.86267 0.000661608
         450     1.90307     1.86276 0.000666204
         451     1.90349     1.86285 0.000670823
         452     1.90391     1.86294 0.000675464
         453     1.90433     1.86303 0.000680126
         454     1.90475     1.86312 0.000684809
         455     1.90516     1.86321  0.00068951
         456     1.90558      1.8633 0.000694228
         457     1.90598      1.8634 0.000698963
         458     1.90639     1.86349 0.000703712
         459     1.90679     1.86359 0.000708473
         460     1.90719     1.86368 0.000713246
         461     1.90758     1.86378 0.000718027
         462     1.90796     1.86387 0.000722815
         463     1.90834     1.86397 0.000727608
         464     1.90871     1.86406 0.000732402
         465     1.90908     1.86416 0.000737196
         466     1.90943     1.86426 0.000741987
         467     1.90977     1.86436 0.000746771
         468      1.9101     1.86445 0.000751546
         469     1.91042     1.86455 0.000756308
         470     1.91073     1.86465 0.000761053
         471     1.91102     1.86475 0.000765778
         472     1.91129     1.86485 0.000770479
         473     1.91155     1.86495 0.000775151
         474     1.91179     1.86504  0.00077979
         475     1.91201     1.86514 0.000784392
         476     1.91221     1.86524 0.000788951
         477     1.91238     1.86534 0.000793463
         478     1.91253     1.86544 0.000797922
         479     1.91266     1.86554 0.000802322
         480     1.91276     1.86564 0.000806658
         481     1.91282     1.86573 0.000810925
         482     1.91286     1.86583 0.000815115
         483     1.91286     1.86593 0.000819223
         484     1.91283     1.86603 0.000823242
         485     1.91277     1.86612 0.000827166
         486     1.91266     1.86622 0.000830989
         487     1.91252     1.86631 0.000834704
         488     1.91234     1.86641 0.000838305
         489     1.91212      1.8665 0.000841786
         490     1.91185     1.86659  0.00084514
         491     1.91154     1.86669 0.000848361
         492     1.91118     1.86678 0.000851444
         493     1.91079     1.86687 0.000854384
         494     1.91034     1.86695 0.000857175
         495     1.90986     1.86704 0.000859815
         496     1.90933     1.86713 0.000862298
         497     1.90876     1.86721 0.000864622
         498     1.90815     1.86729 0.000866785
         499      1.9075     1.86737 0.000868785
         500     1.90682     1.86745 0.000870621
         501      1.9061     1.86753 0.000872295
         502     1.90536      1.8676 0.000873808
         503      1.9046     1.86768 0.000875161
         504     1.90383     1.86775 0.000876359
         505     1.90304     1.86782 0.000877406
         506     1.90225     1.86789 0.000878307
         507     1.90147     1.86795 0.000879068
         508     1.90069     1.86802 0.000879697
         509     1.89994     1.86808 0.000880202
         510     1.89922     1.86814 0.000880591
         511     1.89853      1.8682 0.000880873
         512     1.89789     1.86826 0.000881059
         513      1.8973     1.86832 0.000881158
         514     1.89677     1.86837 0.000881182
         515     1.89631     1.86843  0.00088114
         516     1.89593     1.86848 0.000881043
         517     1.89563     1.86853 0.000880902
         518     1.89541     1.86858 0.000880729
